"","event_name","creation_date","duration","rsvp","venue_name","venue_rating","rating_count","venue.city","address_1","lat","long","group_name","group_rating","category_name"
"1","Murder Mystery Dinner Crawl. Dine at 3 Restaurants & solve the murder",2013-12-03,5.75,72,"Little Szechuan",3,1,"San Francisco","505 Broadway St.",37.797951,-122.405693,"San Francisco Startup Socials","4.67","Career & Business"
"2","Friday Night Drinks with International Travelers and Locals",2014-05-20,21.5,179,"Horizon Lounge",5,2,"San Francisco","498 Broadway St",37.798172,-122.405457,"HR & Tech SF","4.60","Career & Business"
"3","Dinner, Comedy, 100 Beers & Debauchery!",2014-10-23,10.5,45,"taste of vietnam noodle bar",0,0,"San Francisco","631 broadway st.",37.797516,-122.407394,"HR & Tech SF","4.60","Career & Business"
"4","Friday Night Drinks",2015-02-28,31.5,198,"Horizon",3.96,26,"San Francisco","498 Broadway",37.798036,-122.405442,"San Francisco Startup Socials","4.67","Career & Business"
"5","AUSTRALIA DAY PARTY & Sausage Sizzle! $3 Beer/Wine, TRIPLE J, Aussie Games!",2016-01-08,10,24,"Score! Bar and Lounge",4,1,"San Francisco","490 Broadway",37.79805,-122.405251,"HR & Tech SF","4.60","Career & Business"
"6","AUSTRALIA DAY PARTY & Sausage Sizzle! $3 Beer/Wine, TRIPLE J, Aussie Games!",2016-01-09,10,22,"Score Bar & Lounge",4.2,5,"San Francisco","490 Broadway St",37.798084,-122.405144,"San Francisco Startup Socials","4.67","Career & Business"
"7","Dinner, Comedy Show, 100 Beers & Debauchery!",2016-04-01,10.5,26,"taste of vietnam noodle bar",0,0,"San Francisco","631 broadway st.",37.797516,-122.407394,"San Francisco Startup Socials","4.67","Career & Business"
"8","Drinks with International Travelers",2016-06-16,9.5,28,"Northstar Cafe",0,0,"San Francisco","1560 Powell St",37.799217,-122.410538,"HR & Tech SF","4.60","Career & Business"
"9","The Founding Moms Exchange: Chicago",2016-08-31,3,2,"Free Range Office",4.76,25,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"The Founding Moms' Exchange: Chicago/Oak Park!","4.86","Career & Business"
"10","The Waves by Virginia Woolf",2016-09-18,1.5,3,"San Francisco Public Library, 1st Floor, Stong Room",0,0,"San Francisco","100 Larkin Street",0,0,"World Literature Book Club","5.00","Book Clubs"
"11","Watt by Samuel Beckett",2017-01-09,2,11,"Galway Arms",4.42,83,"Chicago","2442 N Clark Street",41.926679,-87.641359,"Read the Classics - The 1001 Books Challenge","4.79","Book Clubs"
"12","Under the Skin - Michel Faber",2017-01-09,2,10,"Galway Arms",4.42,83,"Chicago","2442 N Clark Street",41.926679,-87.641359,"Read the Classics - The 1001 Books Challenge","4.79","Book Clubs"
