"","category_name","group_name","total_members","city","created"
"1","Arts & Culture","  ,    This group is for Koreans only",1,"New York City",2017-01-31
"2","Arts & Culture","#RogueGallery",39,"San Francisco",2017-09-29
"3","Arts & Culture","1001 Things to See in Chicago Before You Die",1,"Chicago",2015-01-18
"4","Arts & Culture","12th Annual Community Access NYC Mental Health Film Festival",699,"New York City",2014-03-26
"5","Arts & Culture","A Taste of Theater Writing, Acting, & Performance",654,"Chicago",2016-12-04
"6","Arts & Culture","Acting In The City",859,"New York City",2017-03-19
"7","Arts & Culture","Action and Reaction: Devised Theatre",49,"Chicago",2016-01-28
"8","Arts & Culture","Actor's Den",1,"New York City",2017-04-17
"9","Arts & Culture","actors' cooperative audition lab",1,"New York City",2016-04-12
"10","Arts & Culture","Actors Aiding Playwrights: Readings of Works In Progress",1,"New York City",2016-05-16
"11","Arts & Culture","Actors Sampling Published Plays",1,"New York City",2017-09-20
"12","Arts & Culture","actors style/ image/ branding workshops",146,"New York City",2017-04-22
"13","Arts & Culture","Actorsdialogue",1,"San Francisco",2012-11-30
"14","Arts & Culture","Adventure Design Group / Bay Area",1087,"San Francisco",2013-03-24
"15","Arts & Culture","AENY Spanish Artists in NY",28,"New York City",2015-11-20
"16","Arts & Culture","African Dance Theatre Creatives",84,"New York City",2016-06-12
"17","Arts & Culture","AfterWork Theater",544,"New York City",2012-09-05
"18","Arts & Culture","AIA San Francisco Programs",1,"San Francisco",2017-09-01
"19","Arts & Culture","Amig@s & Friends",42,"Chicago",2017-09-20
"20","Arts & Culture","Anatomy of Building a Personal Brand + Biomechanics",96,"New York City",2017-07-28
"21","Arts & Culture","Architectural Sketching: Eye and Image",16,"New York City",2014-09-17
"22","Arts & Culture","Architecture + the City Festival Tours",1,"San Francisco",2017-09-08
"23","Arts & Culture","Art-Preneurs in Search of  Stability Meetup",1354,"New York City",2007-10-11
"24","Arts & Culture","Art & Culture Tours in NYC with 5D Guide",2537,"New York City",2015-03-09
"25","Arts & Culture","ART + FASHION SOCIETY",1,"New York City",2014-08-03
"26","Arts & Culture","Art + Sci/Tech Collectors Club",1,"New York City",2017-10-19
"27","Arts & Culture","Art Allies - San Francisco",73,"San Francisco",2015-07-06
"28","Arts & Culture","Art and Ideas in New York",624,"New York City",2016-07-18
"29","Arts & Culture","Art Collecting! Learning & Looking at Contemporary Art",91,"San Francisco",2016-03-22
"30","Arts & Culture","Art Events",137,"San Francisco",2016-11-22
"31","Arts & Culture","Art Events for NYC Artists",318,"New York City",2012-05-25
"32","Arts & Culture","Art Experiences for Everyone!",106,"New York City",2014-05-14
"33","Arts & Culture","Art Fest Lovers Group",1373,"Chicago",2017-03-13
"34","Arts & Culture","ART FOR ART'S SAKE",1602,"New York City",2012-03-20
"35","Arts & Culture","Art in the Garden at Hayes Valley Art Works",39,"San Francisco",2017-09-29
"36","Arts & Culture","ART IS CULTURE",4530,"New York City",2014-05-26
"37","Arts & Culture","Art Meeting NY",232,"New York City",2013-10-04
"38","Arts & Culture","Art of Everyone's Laser Guided Painting",39,"New York City",2017-09-25
"39","Arts & Culture","Art of Everyone Laser Guided Painting, Times Sq, 12pm -7pm",15,"New York City",2017-08-07
"40","Arts & Culture","Art Seen",1,"New York City",2016-07-30
"41","Arts & Culture","Art Terrace: a Network of Artists and Art Enthusiasts",995,"New York City",2014-08-22
"42","Arts & Culture","Art Tribe",627,"New York City",2017-02-01
"43","Arts & Culture","Art With Boris",169,"Chicago",2017-01-05
"44","Arts & Culture","Art, Design, Collectibles Workshop Meetup",13,"New York City",2015-11-15
"45","Arts & Culture","Art/Life/Path Workshop",1,"New York City",2017-10-01
"46","Arts & Culture","ARTCONDO:  Building Communities",901,"New York City",2015-03-22
"47","Arts & Culture","ArtForward",4677,"New York City",2007-08-30
"48","Arts & Culture","Artful Living Club",1,"New York City",2017-07-19
"49","Arts & Culture","ArtGasmica",1,"San Francisco",2013-08-22
"50","Arts & Culture","Artisans Ball",84,"New York City",2012-01-11
"51","Arts & Culture","Artist's Way San Francisco",333,"San Francisco",2015-04-05
"52","Arts & Culture","Artists Helping Artists: Portfolio Photography",145,"New York City",2017-08-04
"53","Arts & Culture","Artists In Business",350,"New York City",2016-07-18
"54","Arts & Culture","Artists International Art Workshops",191,"New York City",2017-06-10
"55","Arts & Culture","Artists Talk On Art (ATOA)",179,"New York City",2013-09-27
"56","Arts & Culture","Arts, Culture and Technology",2823,"New York City",2008-12-05
"57","Arts & Culture","ArtsTech SF",808,"San Francisco",2012-01-24
"58","Arts & Culture","Ashok Jain Contemporary Art",54,"New York City",2016-02-06
"59","Arts & Culture","Asian Artists Meetup",1,"New York City",2007-06-13
"60","Arts & Culture","Atelier d'improvisation thtrale",152,"New York City",2016-12-30
"61","Arts & Culture","Auditioning Across TV, Film, and Theatre",118,"New York City",2017-09-16
"62","Arts & Culture","Ausora: Adult Cartooning Workshop",54,"San Francisco",2016-11-17
"63","Arts & Culture","Authentic Figure Drawing Outside The Studio",72,"New York City",2017-09-10
"64","Arts & Culture","Bay Area Arts and Music Meetup",1228,"San Francisco",2010-07-01
"65","Arts & Culture","Bay Area Illustrator User Group",404,"San Francisco",2010-02-25
"66","Arts & Culture","Bay Area Meisner Group",9,"San Francisco",2017-10-18
"67","Arts & Culture","Bay Area queer feminist music skill share",283,"San Francisco",2014-11-03
"68","Arts & Culture","Be Your Own TV Audition Guru Workshop",29,"New York City",2017-08-02
"69","Arts & Culture","Beasts & Beats Art & Music Show",1,"San Francisco",2016-10-19
"70","Arts & Culture","Big Theater in a Small Space",114,"New York City",2015-12-15
"71","Arts & Culture","Body Ink Narrative",60,"New York City",2016-10-23
"72","Arts & Culture","BYOT (Bring Your Own Theater) Chicago's best 24hr Theater",262,"Chicago",2015-05-18
"73","Arts & Culture","Cafe Theatre New York",321,"New York City",2014-05-01
"74","Arts & Culture","CASTRO  San Francisco Life Figure Drawing Meetup..Sessions",371,"San Francisco",2015-11-09
"75","Arts & Culture","CASTRO STREET Drawing sessions(female model night)",401,"San Francisco",2015-11-24
"76","Arts & Culture","CASTRO STREET Drawing sessions(male model night)",284,"San Francisco",2015-06-14
"77","Arts & Culture","Central Park Sketching & Art Meetup Group",3605,"New York City",2007-02-08
"78","Arts & Culture","chez Grace NYC",71,"New York City",2017-09-08
"79","Arts & Culture","Chicago Acting Meetup",76,"Chicago",2017-08-17
"80","Arts & Culture","Chicago Acting Meetup Group",604,"Chicago",2007-08-22
"81","Arts & Culture","Chicago Alliance of  Visual Artists Meetup",248,"Chicago",2015-05-22
"82","Arts & Culture","Chicago Area Figure Drawing",2111,"Chicago",2009-02-10
"83","Arts & Culture","Chicago Art Deco Society",155,"Chicago",2013-10-30
"84","Arts & Culture","Chicago Art Gallery, Museum & Fair Openings +",1402,"Chicago",2016-04-15
"85","Arts & Culture","Chicago Art Meetup",1,"Chicago",2017-09-04
"86","Arts & Culture","Chicago Art Times",485,"Chicago",2014-08-02
"87","Arts & Culture","Chicago Artists and Art Lovers",831,"Chicago",2015-12-03
"88","Arts & Culture","Chicago Asian American Acting Industry",163,"Chicago",2016-10-26
"89","Arts & Culture","Chicago Comedy & Theater",988,"Chicago",2014-09-29
"90","Arts & Culture","Chicago Culture and Arts Club",1536,"Chicago",2013-05-21
"91","Arts & Culture","Chicago Design Workshops",126,"Chicago",2011-08-24
"92","Arts & Culture","Chicago Figurative Illustration Workshop Meetup",37,"Chicago",2017-01-22
"93","Arts & Culture","Chicago Improv Practice Group",567,"Chicago",2010-12-20
"94","Arts & Culture","Chicago Male Movement Exploration",129,"Chicago",2016-12-24
"95","Arts & Culture","Chicago Meetup",13869,"Chicago",2009-06-19
"96","Arts & Culture","Chicago Paint Dancing - PaintDancing.com",275,"Chicago",2008-04-14
"97","Arts & Culture","Chicago The Artist's Way Meetup Group",194,"Chicago",2006-09-21
"98","Arts & Culture","Chicago Theater Goers Meetup Group",486,"Chicago",2003-12-06
"99","Arts & Culture","Chicago Theater Meetup",499,"Chicago",2015-12-11
"100","Arts & Culture","Chicago Women's Creative Collective",957,"Chicago",2012-12-13
"101","Arts & Culture","Chicago Women in Architecture",165,"Chicago",2016-01-27
"102","Arts & Culture","Chicago: The Business & The Craft of Acting",164,"Chicago",2017-04-30
"103","Arts & Culture","ChiVox MeetUp Group",1,"Chicago",2016-07-21
"104","Arts & Culture","CODAME ART+TECH",1279,"San Francisco",2013-03-19
"105","Arts & Culture","CoLabX (Collaborative Expression Groups)",1,"New York City",2015-05-19
"106","Arts & Culture","Cold Cut's Live Script Read",106,"New York City",2016-06-30
"107","Arts & Culture","Columbia Digital Storytelling Lab",718,"New York City",2015-07-19
"108","Arts & Culture","Connecting Creative People with Creative Spaces in NYC",245,"New York City",2015-08-05
"109","Arts & Culture","Contemporary Art Collectors Club | NYC",66,"New York City",2017-03-31
"110","Arts & Culture","Crack the Art Code: Art Gallery Walks",107,"New York City",2017-08-06
"111","Arts & Culture","Creative-Industry Networking",2306,"San Francisco",2012-01-09
"112","Arts & Culture","Creativity & Innovation Thinkubator Network of Chicago",292,"Chicago",2016-05-31
"113","Arts & Culture","Creativity as Spiritual Practice Meetup",2848,"New York City",2010-05-19
"114","Arts & Culture","Crooked Bit - Bay Area Creatives",77,"San Francisco",2017-05-10
"115","Arts & Culture","CTM II",32,"Chicago",2017-08-04
"116","Arts & Culture","Culturally Savvy People (Politics,Art,Books,Fashion,Music..)",1,"New York City",2008-04-28
"117","Arts & Culture","Culturati - Chicago Live Arts and Culture Communit",1,"Chicago",2015-10-03
"118","Arts & Culture","Curator's Circle",78,"New York City",2017-09-20
"119","Arts & Culture","Da MIC is Open ?",32,"New York City",2015-07-15
"120","Arts & Culture","Design Museum San Francisco",390,"San Francisco",2015-09-15
"121","Arts & Culture","Designing for People NYC",574,"New York City",2014-08-16
"122","Arts & Culture","Digital Illustrators NYC",384,"New York City",2015-12-26
"123","Arts & Culture","Don't Just Sit There! Come to the Theatre With Us",153,"New York City",2017-07-25
